Community,County,per,% Valuation,Rate,Equalizer
Nokomis,Montgomery,$100.00,33.30%,8.22%,1
Normal,Mclean,$100.00,33.30%,7.84%,1
Norris City,White,$100.00,33.30%,10.06%,1
North Aurora,Kane,$100.00,33.30%,7.48%,1
North Chicago,Lake,$100.00,33.30%,9.80%,1.0199
North Utica,Lasalle,$100.00,33.30%,8.83%,1
Northbrook,Cook,$100.00,10.00%,5.41%,2.9706
Northfield,Cook,$100.00,10.00%,4.69%,2.9706
Oak Brook,Dupage,$100.00,33.30%,2.64%,1.059
Oak Forest,Cook,$100.00,10.00%,9.67%,2.9706
Oak Lawn,Cook,$100.00,10.00%,8.10%,2.9706
Oak Park,Cook,$100.00,10.00%,9.24%,2.9706
Oakland,Coles,$100.00,33.30%,10.77%,1
Oakwood,Vermilion,$100.00,33.30%,8.07%,1
Oblong,Crawford,$100.00,33.30%,9.44%,1
Ogden,Champaign,$100.00,33.30%,7.72%,1
Oglesby,Lasalle,$100.00,33.30%,8.84%,1
Okawville,Washington,$100.00,33.30%,7.08%,1
Old Shawneetown,Gallatin,$100.00,33.30%,3.13%,1
Olmsted,Pulaski,$100.00,33.30%,8.80%,1
Olney,Richland,$100.00,33.30%,7.45%,1
Olympia Fields,Cook,$100.00,10.00%,10.28%,2.9706
Omaha,Gallatin,$100.00,33.30%,2.91%,1
Onarga,Iroquois,$100.00,33.30%,9.54%,1
Oquawka,Henderson,$100.00,33.30%,7.75%,1
Oregon,Ogle,$100.00,33.30%,8.29%,1
Orion,Henry,$100.00,33.30%,7.98%,1
Orland Hills,Cook,$100.00,10.00%,7.89%,2.9706
Orland Park,Cook,$100.00,10.00%,6.71%,2.9706
Ottawa,Lasalle,$100.00,33.30%,9.38%,1
Palatine,Cook,$100.00,10.00%,7.67%,2.9706
Palestine,Crawford,$100.00,33.30%,9.84%,1
Palmyra,Macoupin,$100.00,33.30%,7.68%,1
Palos Heights,Cook,$100.00,10.00%,7.03%,2.9706
Palos Hills,Cook,$100.00,10.00%,0.00%,2.9706
Palos Park,Cook,$100.00,10.00%,5.90%,2.9706
Pana,Christian,$100.00,33.30%,9.76%,1
Paris,Edgar,$100.00,33.30%,8.92%,1
Park Forest,Cook,$100.00,10.00%,13.07%,2.9706
Patoka,Marion,$100.00,33.30%,7.40%,1
Paw Paw,Lee,$100.00,33.30%,9.07%,1
Pawnee,Sangamon,$100.00,33.30%,7.44%,1
Paxton,Ford,$100.00,33.30%,9.38%,1
Pecatonica,Winnebago,$100.00,33.30%,8.94%,1
Pekin,Tazewell,$100.00,33.30%,7.22%,1
Peoria,Peoria,$100.00,33.30%,8.79%,1
Peotone,Will,$100.00,33.30%,7.12%,1
Peru,Lasalle,$100.00,33.30%,6.89%,1
Petersburg,Menard,$100.00,33.30%,7.60%,1
Phoenix,Cook,$100.00,10.00%,7.87%,2.9706
Pinckneyville,Perry,$100.00,33.30%,9.74%,1
Pittsfield,Pike,$100.00,33.30%,7.81%,1
Plainfield,Will,$100.00,33.30%,7.00%,1
Plano,Kendall,$100.00,33.30%,10.57%,1
Pleasant Hill,Pike,$100.00,33.30%,9.34%,1
Pleasant Plains,Sangamon,$100.00,33.30%,8.64%,1
Plymouth,Hancock,$100.00,33.30%,9.17%,1
Polo,Ogle,$100.00,33.30%,8.42%,1
Pontiac,Livingston,$100.00,33.30%,9.00%,1
Poplar Grove,Boone,$100.00,33.30%,7.71%,1
Port Byron,Rock Island,$100.00,33.30%,6.98%,1
Posen,Cook,$100.00,10.00%,8.16%,2.9706
Princeton,Bureau,$100.00,33.30%,8.84%,1
Prophetstown,Whiteside,$100.00,33.30%,9.00%,1
Pulaski,Pulaski,$100.00,33.30%,8.52%,1
Quincy,Adams,$100.00,33.30%,6.94%,1
Raleigh,Saline,$100.00,33.30%,5.70%,1
Rantoul,Champaign,$100.00,33.30%,9.15%,1
Rapids City,Rock Island,$100.00,33.30%,6.66%,1
Raritan,Henderson,$100.00,33.30%,7.33%,1
Red Bud,Randolph,$100.00,33.30%,5.59%,1
Reynolds,Rock Island,$100.00,33.30%,6.60%,1
Richmond,Mchenry,$100.00,33.30%,7.58%,1
Richton Park,Cook,$100.00,10.00%,10.34%,2.9706
Ridge Farm,Vermilion,$100.00,33.30%,10.44%,1
Ridgway,Gallatin,$100.00,33.30%,3.48%,1
River Forest,Cook,$100.00,10.00%,7.70%,2.9706
Riverside,Cook,$100.00,10.00%,8.23%,2.9706
Riverwoods,Lake,$100.00,33.30%,6.05%,1.0199
Robbins,Cook,$100.00,10.00%,9.38%,2.9706
Robinson,Crawford,$100.00,33.30%,7.21%,1
Rochelle,Ogle,$100.00,33.30%,8.98%,1
Rochester,Sangamon,$100.00,33.30%,7.03%,1
Rock Falls,Whiteside,$100.00,33.30%,10.21%,1
Rock Island,Rock Island,$100.00,33.30%,9.33%,1
Rockford,Winnebago,$100.00,33.30%,11.32%,1
Rockton,Winnebago,$100.00,33.30%,8.54%,1
Rolling Meadows,Cook,$100.00,10.00%,7.53%,2.9706
Romeoville,Will,$100.00,33.30%,7.02%,1
Roodhouse,Greene,$100.00,33.30%,9.81%,1
